,IDs,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled,PAINS_match,Brenk_match
61,CHEMBL4109144,0.19,nM,COC(=O)CN1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]2C1,9.721246399,622.2263860680001,10,2,3.207800000000001,True,0,0.0
62,CHEMBL4107467,0.19,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc5ccccc5cn4)cc3)c12,9.721246399,517.222623104,7,2,4.647400000000004,True,0,0.0
64,CHEMBL5087011,0.2,nM,Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCCC4NC(=O)c3cn(C(C)(C)C)nn3)n2)cn1,9.698970004,485.26515661200017,9,2,4.164700000000002,True,0,0.0
65,CHEMBL4070865,0.2,nM,NC(=O)[C@H]1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1,9.698970004,523.1943576680001,7,3,4.403700000000002,True,0,0.0
67,CHEMBL4754065,0.2,nM,Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)c1cnc(C(C)(C)C)s1,9.698970004,461.199779484,8,2,4.613120000000003,True,0,0.0
68,CHEMBL4068131,0.2,nM,Nc1nccn2c1c(-c1ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc1)nc2[C@]12CC[C@](C(=O)O)(CC1)C2,9.698970004,536.178373256,7,3,4.9311000000000025,True,0,0.0
70,CHEMBL4112223,0.2,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C5CC5)ccn4)cc3F)c12,9.698970004,525.2288513560001,7,2,4.510700000000004,True,0,0.0
72,CHEMBL4782313,0.2,nM,Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)N1CCC(C(C)(C)C)C1,9.698970004,447.274658676,6,2,4.506720000000003,True,0,0.0
73,CHEMBL4211960,0.2,nM,Nc1cc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)nc(Nc2cnn(CC(F)F)c2)n1,9.698970004,547.1943576680001,9,3,4.743900000000004,True,0,0.0
75,CHEMBL4111521,0.21,nM,C[C@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C6CC6)ccn5)cc4F)c4c(N)nccn34)CC[C@@H]12,9.677780705,541.2237659760001,8,2,4.729000000000003,True,0,0.0
76,CHEMBL4109557,0.21,nM,N#Cc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)c(F)c2)c1,9.677780705,510.1928001960001,8,2,3.504980000000001,True,0,0.0
77,CHEMBL4112274,0.21,nM,Nc1nccn2c([C@@H]3CC[C@H]4CN(C(=O)c5ccncc5)CC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.677780705,655.2267204159999,9,2,4.270200000000003,True,0,0.0
78,CHEMBL4112201,0.21,nM,CC(F)(F)c1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)c(F)c2)c1,9.677780705,549.2100077320001,7,2,4.745000000000003,True,0,0.0
81,CHEMBL3652657,0.22,nM,Cn1ccc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)cc(F)c5c4=O)c3CO)cc2C(N)=O)n1,9.657577319,530.2190149439999,10,3,3.0763000000000007,True,0,0.0
82,CHEMBL4111121,0.22,nM,Nc1nccn2c([C@@H]3CC[C@H]4CN(CC(=O)O)CC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.657577319,608.210736004,9,3,3.119400000000001,True,0,0.0
85,CHEMBL4111645,0.22,nM,Nc1nccn2c([C@@H]3CC[C@H]4CNCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.657577319,550.2052567000001,8,3,3.3224000000000027,True,0,0.0
87,CHEMBL4110406,0.23,nM,CCOc1cc(C(=O)Nc2cc(C(F)(F)F)n(C)n2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,9.638272164,616.192499096,9,2,4.903600000000003,True,0,0.0
90,CHEMBL4109377,0.23,nM,Nc1nccn2c([C@@H]3CC[C@H]4CN(C(=O)c5ccccc5)CC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.638272164,654.231471448,8,2,4.875200000000004,True,0,0.0
91,CHEMBL3652659,0.24,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccc(F)cn5)n4)c3CO)ncc2c1,9.619788758,545.1986941,9,3,3.876900000000002,True,0,0.0
92,CHEMBL4112085,0.24,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(OC5CC5)ccn4)cc3)c12,9.619788758,523.233187788,8,2,4.035400000000003,True,0,0.0
93,CHEMBL3652662,0.24,nM,Cc1ccc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)cc(F)c5c4=O)c3CO)cc2C(N)=O)nc1,9.619788758,541.223765976,9,3,4.046220000000002,True,0,0.0
96,CHEMBL4757041,0.26,nM,CN1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4F)c4c(N)nccn34)CC[C@H]2C1,9.585026652,582.2114849520001,8,2,3.803700000000002,True,0,0.0
97,CHEMBL4113994,0.26,nM,CN1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]2C1,9.585026652,564.220906764,8,2,3.664600000000002,True,0,0.0
98,CHEMBL3945408,0.26,nM,Cc1c(-c2c(Cl)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)[nH]c2c(F)cccc2c1=O,9.585026652,574.178311276,5,4,4.902920000000003,True,0,0.0
99,CHEMBL4114094,0.26,nM,Nc1nccn2c([C@H]3CN4C(=O)CC[C@@H]4CO3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.585026652,537.173622224,8,2,3.706900000000002,True,0,0.0
100,CHEMBL3899411,0.27,nM,Cc1c(-c2c(C#N)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,9.568636236,575.1968825320001,7,3,4.636400000000003,True,0,0.0
102,CHEMBL4111825,0.27,nM,CCN1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]2C1,9.568636236,578.2365568280001,8,2,4.054700000000003,True,0,0.0
