,IDs,IC50,units,smiles,pIC50
31,CHEMBL4109294,0.13,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(OC5CC5)ccn4)cc3F)c12,9.886056648
32,CHEMBL5094211,0.14,nM,Nc1nc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)c2cc(-c3ccncc3)[nH]c2n1,9.853871964
33,CHEMBL3942777,0.14,nM,C[C@@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@@H]12,9.853871964
34,CHEMBL3916919,0.14,nM,CC1(C)C[C@H]2CC[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CN2C1=O,9.853871964
35,CHEMBL3968222,0.14,nM,C=CC(=O)N1CCc2[nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn3c2C1,9.853871964
36,CHEMBL4634162,0.14,nM,C#CC(=O)N[C@H]1CCCN(c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)C1,9.853871964
37,CHEMBL4784814,0.15,nM,C[C@H](O)C(=O)N1C[C@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CC[C@@H]1C,9.823908741
38,CHEMBL4744536,0.15,nM,COCC#CC(=O)Nc1ccc2nccc(Oc3ccc(C(=O)Nc4ccccn4)cc3)c2c1,9.823908741
39,CHEMBL3954730,0.15,nM,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3cc(Cl)c(OC)c(Cl)c3)nn21,9.823908741
40,CHEMBL3922120,0.15,nM,C=CC(=O)N1CCCc2[nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn3c2C1,9.823908741
41,CHEMBL4110388,0.16,nM,CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2ccnc(N)c12,9.795880017
42,CHEMBL4106573,0.16,nM,Nc1ncc(Cl)n2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.795880017
43,CHEMBL4111650,0.16,nM,CCc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)cc2)c1,9.795880017
44,CHEMBL4111363,0.17,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc(F)c1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,9.769551079
45,CHEMBL3905984,0.17,nM,CN(C)C/C=C/C(=O)N1CCc2c([nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn23)C1,9.769551079
46,CHEMBL3922148,0.17,nM,C[C@@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4F)c4c(N)nccn34)CC[C@@H]12,9.769551079
47,CHEMBL4744759,0.17,nM,C[C@H]1CC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CN1C(=O)C1(C)COC1,9.769551079
48,CHEMBL4447328,0.17,nM,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c(C(N)=O)c2N)C1,9.769551079
